AN	MORPH_TYPE	EXPONENT	BASE_POS	SEM_TYPE
secouriste	affixed	iste	n	action
sidérurgiste	affixed	iste	n	domain
sitariste	affixed	iste	n	domain
soliste	affixed	iste	n	action
standardiste	affixed	iste	n	object
sténotypiste	affixed	iste	n	object
stratégiste	affixed	iste	n	action
styliste	affixed	iste	n	property
talmudiste	affixed	iste	n	objCog
tankiste	affixed	iste	n	object
taxidermiste	affixed	iste	n	domain
taxinomiste	affixed	iste	n	domain
télégraphiste	affixed	iste	n	object
téléphoniste	affixed	iste	n	object
tractoriste	affixed	iste	n	object
trapéziste	affixed	iste	n	domain
tromboniste	affixed	iste	n	domain
trompettiste	affixed	iste	n	domain
turfiste	affixed	iste	n	domain
urbaniste	affixed	iste	n	domain
urgentiste	affixed	iste	n	domain
violoncelliste	affixed	iste	n	domain
violoniste	affixed	iste	n	domain
virologiste	affixed	iste	n	domain
visagiste	affixed	iste	n	object
vocaliste	affixed	iste	v	action
xylophoniste	affixed	iste	n	domain
zoologiste	affixed	iste	n	domain
